Stage,Concept,Frequency,Degree Centrality,Betweenness Centrality,Clustering Coefficient,Nodes,Edges,Network Density,Average Degree,Connected Components,Communities,Modularity
Simurgh Encounter,درد,9,0.5,0.0,0.2794,15,39,0.3714,5.2,1,3,0.1524
Simurgh Encounter,مرغ,11,0.4286,0.011,0.3211,15,39,0.3714,5.2,1,3,0.1524
Simurgh Encounter,دل,9,0.4286,0.0,0.3539,15,39,0.3714,5.2,1,3,0.1524
Simurgh Encounter,خاک,11,0.3571,0.0,0.4871,15,39,0.3714,5.2,1,3,0.1524
Simurgh Encounter,محو,9,0.2857,0.0,0.4598,15,39,0.3714,5.2,1,3,0.1524
Simurgh Encounter,تن,10,0.2857,0.0,0.4241,15,39,0.3714,5.2,1,3,0.1524
Simurgh Encounter,سیمرغ,11,0.2143,0.0,0.5379,15,39,0.3714,5.2,1,3,0.1524
Simurgh Encounter,عشق,5,0.2143,0.0,0.337,15,39,0.3714,5.2,1,3,0.1524
Simurgh Encounter,نفس,6,0.2143,0.0,0.4188,15,39,0.3714,5.2,1,3,0.1524
Simurgh Encounter,بقا,5,0.1429,0.0,0.3504,15,39,0.3714,5.2,1,3,0.1524
Simurgh Encounter,فنا,5,0.1429,0.0,0.3504,15,39,0.3714,5.2,1,3,0.1524
Simurgh Encounter,پاک,4,0.0714,0.0,0.0,15,39,0.3714,5.2,1,3,0.1524
