Stage,Concept_A,Concept_B,Normalized_Strength,Previous_Strength,Change,Status
Birds_Journey,عشق,عقل,0.006725,0.0,0.006725,Emerging
Seven_Valleys,عشق,عقل,0.02776,0.006725,0.021035,Strengthening
Simurgh_Encounter,عشق,عقل,0.0,0.02776,-0.02776,Weakening
Final_State,عشق,عقل,0.0,0.0,0.0,Stable
Opening,عشق,محو,0.0,0.0,0.0,Stable
Birds_Journey,عشق,محو,0.004234,0.0,0.004234,Emerging
Seven_Valleys,عشق,محو,0.004842,0.004234,0.000608,Strengthening
Simurgh_Encounter,عشق,محو,0.0,0.004842,-0.004842,Weakening
Final_State,عشق,محو,0.0,0.0,0.0,Stable
Opening,عشق,نفس,0.0,0.0,0.0,Stable
Birds_Journey,عشق,نفس,0.008468,0.0,0.008468,Emerging
Seven_Valleys,عشق,نفس,0.009684,0.008468,0.001216,Strengthening
Simurgh_Encounter,عشق,نفس,0.0,0.009684,-0.009684,Weakening
Final_State,عشق,نفس,0.0,0.0,0.0,Stable
Opening,عشق,پاک,0.0,0.0,0.0,Stable
Birds_Journey,عشق,پاک,0.005106,0.0,0.005106,Emerging
Seven_Valleys,عشق,پاک,0.0,0.005106,-0.005106,Weakening
Simurgh_Encounter,عشق,پاک,0.0,0.0,0.0,Stable
Final_State,عشق,پاک,0.0,0.0,0.0,Stable
Opening,عقل,محو,0.0,0.0,0.0,Stable
Birds_Journey,عقل,محو,0.0,0.0,0.0,Stable
Seven_Valleys,عقل,محو,0.009684,0.0,0.009684,Emerging
Simurgh_Encounter,عقل,محو,0.0,0.009684,-0.009684,Weakening
Final_State,عقل,محو,0.0,0.0,0.0,Stable
Opening,عقل,نفس,0.0,0.0,0.0,Stable
Birds_Journey,عقل,نفس,0.002615,0.0,0.002615,Emerging
Seven_Valleys,عقل,نفس,0.00581,0.002615,0.003195,Strengthening
Simurgh_Encounter,عقل,نفس,0.0,0.00581,-0.00581,Weakening
Final_State,عقل,نفس,0.0,0.0,0.0,Stable
Opening,عقل,پاک,0.009674,0.0,0.009674,Emerging
Birds_Journey,عقل,پاک,0.0,0.009674,-0.009674,Weakening
Seven_Valleys,عقل,پاک,0.004842,0.0,0.004842,Emerging
Simurgh_Encounter,عقل,پاک,0.0,0.004842,-0.004842,Weakening
Final_State,عقل,پاک,0.0,0.0,0.0,Stable
Opening,محو,مرغ,0.0,0.0,0.0,Stable
Birds_Journey,محو,مرغ,0.0,0.0,0.0,Stable
Seven_Valleys,محو,مرغ,0.0,0.0,0.0,Stable
Simurgh_Encounter,محو,مرغ,0.015497,0.0,0.015497,Emerging
Final_State,محو,مرغ,0.0,0.015497,-0.015497,Weakening
Opening,مرغ,نفس,0.0,0.0,0.0,Stable
Birds_Journey,مرغ,نفس,0.002366,0.0,0.002366,Emerging
Seven_Valleys,مرغ,نفس,0.0,0.002366,-0.002366,Weakening
Simurgh_Encounter,مرغ,نفس,0.0,0.0,0.0,Stable
Final_State,مرغ,نفس,0.0,0.0,0.0,Stable
Opening,مرغ,پاک,0.0,0.0,0.0,Stable
Birds_Journey,مرغ,پاک,0.001868,0.0,0.001868,Emerging
Seven_Valleys,مرغ,پاک,0.0,0.001868,-0.001868,Weakening
Simurgh_Encounter,مرغ,پاک,0.0,0.0,0.0,Stable
Final_State,مرغ,پاک,0.0,0.0,0.0,Stable
Opening,نفس,پاک,0.012092,0.0,0.012092,Emerging
Birds_Journey,نفس,پاک,0.00411,0.012092,-0.007982,Weakening
Seven_Valleys,نفس,پاک,0.0,0.00411,-0.00411,Weakening
Simurgh_Encounter,نفس,پاک,0.0,0.0,0.0,Stable
Final_State,نفس,پاک,0.0,0.0,0.0,Stable
